instrument_key,exchange_token,Symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE042A01014,958,ESCORTS,ESCORTS KUBOTA LIMITED,3478.8,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE312C01025,11997,SYNCOMF,SYNCOM FORMU (I) LTD,18.26,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE668G01021,8953,ELDEHSG,ELDECO HSG & IND LTD.,762.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE388A01029,5614,GANESHBE,GANESH BENZOPLAST LIMITED,96.86,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE204E01012,3389,AGARIND,AGARWAL INDS CORP LTD.,967.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE869I01013,21195,GTPL,GTPL HATHWAY LIMITED,124.49,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE399C01030,11689,SUPRAJIT,SUPRAJIT ENGINEERING LTD,457.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE176A01028,371,BATAINDIA,BATA INDIA LTD,1205.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE064C01022,9685,TRIDENT,TRIDENT LIMITED,31,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE285K01026,6445,TECHNOE,TECHNO ELEC & ENG CO. LTD,1481.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE256C01024,13081,TRIVENI,TRIVENI ENGG. & INDS. LTD,370.6,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE992I01013,9305,STARTECK,STARTECK FINANCE LIMITED,314.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE274F01020,11580,WESTLIFE,WESTLIFE FOODWORLD LTD,777.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE844K01012,20196,BEDMUTHA,BEDMUTHA INDUST LTD,147.41,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE947Q01028,19234,LAURUSLABS,LAURUS LABS LIMITED,822.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE913H01037,18822,ENDURANCE,ENDURANCE TECHNO. LTD.,2623.2,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE490G01020,20830,MOIL,MOIL LIMITED,393.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE918I01026,16675,BAJAJFINSV,BAJAJ FINSERV LTD.,2060.5,,,0.1,1,EQUITY,,NSE_EQ
